"experiment_name","assay_plate_number","assay_well","assay_time_hours","od600","assay_strain","stock_b12_conc","stock_met_conc","stock_volume_added","assay_volume_added","bio_replicate","tech_replicate","bacteria_strain_id","sample_treatment","assay_type","b12_conc_ngl","met_conc_mgl","assay_dilution","adjusted_b12_conc_ngl","log_b12_pgl","fluorescence","log_fluorescence"
"b12_assay_4","1","A1",23,0.788,"metE",20000,0,10,90,1,1,"blank","filter_then_boil","E. coli OD600",2000,0.037,0.1,2000,14.5086577385242,NA,NA
"b12_assay_4","1","A10",23,0.221,"metE",512,0,3,97,1,1,"blank","filter_then_boil","E. coli OD600",15.36,0.037,0.03,15.36,9.63952200670166,NA,NA
"b12_assay_4","1","A11",23,0.339,"metE",204.8,0,10,90,1,1,"blank","filter_then_boil","E. coli OD600",20.48,0.037,0.1,20.48,9.92720407915344,NA,NA
"b12_assay_4","1","A12",23,0.095,"metE",204.8,0,3,97,1,1,"blank","filter_then_boil","E. coli OD600",6.144,0.037,0.03,6.144,8.72323127482751,NA,NA
"b12_assay_4","1","A13",23,0.133,"metE",81.92,0,10,90,1,1,"blank","filter_then_boil","E. coli OD600",8.192,0.037,0.1,8.192,9.01091334727929,NA,NA
"b12_assay_4","1","A14",23,0.059,"metE",81.92,0,3,97,1,1,"blank","filter_then_boil","E. coli OD600",2.4576,0.037,0.03,2.4576,7.80694054295335,NA,NA
"b12_assay_4","1","A15",23,0.079,"metE",32.768,0,10,90,1,1,"blank","filter_then_boil","E. coli OD600",3.2768,0.037,0.1,3.2768,8.09462261540513,NA,NA
"b12_assay_4","1","A16",23,0.048,"metE",32.768,0,3,97,1,1,"blank","filter_then_boil","E. coli OD600",0.98304,0.037,0.03,0.98304,6.8906498110792,NA,NA
"b12_assay_4","1","A17",23,0.057,"metE",13.1072,0,10,90,1,1,"blank","filter_then_boil","E. coli OD600",1.31072,0.037,0.1,1.31072,7.17833188353098,NA,NA
"b12_assay_4","1","A18",23,0.039,"metE",13.1072,0,3,97,1,1,"blank","filter_then_boil","E. coli OD600",0.393216,0.037,0.03,0.393216,5.97435907920504,NA,NA
"b12_assay_4","1","A19",23,0.043,"metE",5.24288,0,10,90,1,1,"blank","filter_then_boil","E. coli OD600",0.524288,0.037,0.1,0.524288,6.26204115165682,NA,NA
"b12_assay_4","1","A2",23,0.736,"metE",20000,0,3,97,1,1,"blank","filter_then_boil","E. coli OD600",600,0.037,0.03,600,13.3046849341983,NA,NA
"b12_assay_4","1","A20",23,0.037,"metE",5.24288,0,3,97,1,1,"blank","filter_then_boil","E. coli OD600",0.1572864,0.037,0.03,0.1572864,5.05806834733089,NA,NA
"b12_assay_4","1","A21",23,0.037,"metE",2.097152,0,10,90,1,1,"blank","filter_then_boil","E. coli OD600",0.2097152,0.037,0.1,0.2097152,5.34575041978267,NA,NA
"b12_assay_4","1","A22",23,0.036,"metE",2.097152,0,3,97,1,1,"blank","filter_then_boil","E. coli OD600",0.06291456,0.037,0.03,0.06291456,4.14177761545673,NA,NA
"b12_assay_4","1","A23",23,0.036,"metE",0,0,10,90,1,1,"blank","filter_then_boil","E. coli OD600",0,0.037,0.1,0,-Inf,NA,NA
"b12_assay_4","1","A24",23,0.101,"metE",0,0,3,97,1,1,"blank","filter_then_boil","E. coli OD600",0,0.037,0.03,0,-Inf,NA,NA
"b12_assay_4","1","A3",23,0.753,"metE",8000,0,10,90,1,1,"blank","filter_then_boil","E. coli OD600",800,0.037,0.1,800,13.5923670066501,NA,NA
"b12_assay_4","1","A4",23,0.618,"metE",8000,0,3,97,1,1,"blank","filter_then_boil","E. coli OD600",240,0.037,0.03,240,12.3883942023241,NA,NA
"b12_assay_4","1","A5",23,0.989,"metE",3200,0,10,90,1,1,"blank","filter_then_boil","E. coli OD600",320,0.037,0.1,320,12.6760762747759,NA,NA
