Testname: FB_Chlorophyll_384
Date: 2/17/2026  Time: 4:21:57 PM (UTC--6)
ID1: b12_release_uptake_death1  ID2: plate12_hour94  ID3: 
No. of Channels / Multichromatics: 1
No. of Cycles: 1
Configuration: Fluorescence
Used filter settings and gain values:
  1: 400-100/700-100                                       auto
  2: -
  3: -
  4: -
  5: -
Focal height [mm]: 1.3

Chromatic: 1
Cycle: 1
A01:     6650
A02:    55565
A03:    59314
A04:   124277
A05:    62017
A06:   144728
A07:   116752
A08:   333348
A09:    58173
A10:   226131
A11:   113580
A12:   161382
A13:    65501
A14:   273951
A15:    72160
A16:   194893
A17:    87105
A18:   279419
A19:    55126
A20:   347838
A21:    84123
A22:   339636
A23:    72278
A24:    65960
B01:     4468
B02:    26487
B03:   153969
B04:   410708
B05:   221977
B06:   406648
B07:   190397
B08:   297669
B09:   177664
B10:   519741
B11:   131340
B12:   459251
B13:   153961
B14:   460959
B15:   177471
B16:   330887
B17:   182848
B18:   300526
B19:   130159
B20:   328673
B21:   194272
B22:   408575
B23:   213048
B24:   188912
C01:    28611
C02:   200406
C03:   159177
C04:   455327
C05:   181061
C06:   387113
C07:   194924
C08:   461315
C09:   211273
C10:   361823
C11:   194965
C12:   328139
C13:   193444
C14:   319172
C15:   164510
C16:   332227
C17:   179958
C18:   406784
C19:   185875
C20:   361030
C21:   176182
C22:   393374
C23:   181930
C24:   391856
D01:     4130
D02:    55164
D03:   136472
D04:   339390
D05:   208656
D06:   355070
D07:   176159
D08:   428287
D09:   258626
D10:   341892
D11:   192609
D12:   330163
D13:   192232
D14:   349629
D15:   181076
D16:   309821
D17:   222400
D18:   399949
D19:   139538
D20:   307661
D21:   157272
D22:   357831
D23:   173800
D24:   259980
E01:   144574
E02:   279610
E03:   141065
E04:   319281
E05:   177619
E06:   371255
E07:   192609
E08:   360374
E09:   193468
E10:   329301
E11:   158574
E12:   260540
E13:   176353
E14:   338337
E15:   162547
E16:   352144
E17:   147851
E18:   259775
E19:   180605
E20:   292187
E21:   160364
E22:   352992
E23:   171236
E24:   214298
F01:    13043
F02:   127593
F03:    34700
F04:   115729
F05:   147249
F06:   269016
F07:   192484
F08:   361385
F09:   189571
F10:   344612
F11:    17225
F12:    84107
F13:   200938
F14:   478758
F15:     8667
F16:    72811
F17:    78037
F18:   197285
F19:   200756
F20:   343970
F21:   147798
F22:   345514
F23:   183377
F24:   246733
G01:    71286
G02:   287703
G03:   168927
G04:   373702
G05:   181780
G06:   300266
G07:   215415
G08:   408056
G09:   223631
G10:   376081
G11:   189915
G12:   309220
G13:   219297
G14:   401945
G15:   184877
G16:   293581
G17:   146726
G18:   273664
G19:   185465
G20:   372458
G21:   164289
G22:   390230
G23:   182008
G24:   324052
H01:    30493
H02:   101114
H03:    55351
H04:   124535
H05:   145468
H06:   262659
H07:   212161
H08:   361932
H09:   207135
H10:   344038
H11:    23833
H12:    84248
H13:   194563
H14:   324489
H15:    19828
H16:    74465
H17:    74185
H18:   153074
H19:   183600
H20:   337449
H21:   163422
H22:   320771
H23:   194039
H24:   367892
I01:    80109
I02:   325692
I03:   173540
I04:   348153
I05:   173654
I06:   425608
I07:   219051
I08:   328796
I09:   196776
I10:   308017
I11:   184210
I12:   317750
I13:   200902
I14:   321824
I15:   195835
I16:   340607
I17:   245476
I18:   439989
I19:   182156
I20:   332637
I21:   199740
I22:   417379
I23:   187305
I24:   264518
J01:    22931
J02:    48595
J03:   167260
J04:   363887
J05:   185127
J06:   328098
J07:   201727
J08:   337189
J09:   174834
J10:   332637
J11:   198799
J12:   333320
J13:   209468
J14:   379895
J15:   207526
J16:   359061
J17:   217028
J18:   378651
J19:   143699
J20:   249782
J21:   169704
J22:   335590
J23:   144041
J24:   336068
K01:    54803
K02:   256863
K03:   164107
K04:   383422
K05:   196345
K06:   407987
K07:   198104
K08:   401398
K09:   185640
K10:   387687
K11:   196042
K12:   363108
K13:   182237
K14:   388781
K15:   183214
K16:   315303
K17:   133723
K18:   382274
K19:   207993
K20:   320211
K21:   185674
K22:   401726
K23:   181949
K24:   345624
L01:    11252
L02:    72412
L03:   181014
L04:   401631
L05:   194403
L06:   338119
L07:   193803
L08:   444760
L09:   211629
L10:   373976
L11:   187702
L12:   336424
L13:   196701
L14:   427139
L15:   198194
L16:   376860
L17:   173154
L18:   412457
L19:   139308
L20:   288974
L21:   209868
L22:   329712
L23:   201460
L24:   453167
M01:   121858
M02:   281196
M03:   184389
M04:   327565
M05:   200055
M06:   358064
M07:   187140
M08:   315932
M09:   190258
M10:   376491
M11:   117875
M12:   271545
M13:   168182
M14:   312911
M15:   154315
M16:   336465
M17:   152304
M18:   254689
M19:   197343
M20:   298106
M21:   222824
M22:   369929
M23:   163246
M24:   250356
N01:    52906
N02:   119762
N03:    54609
N04:   134198
N05:   125653
N06:   298967
N07:   183047
N08:   303478
N09:   166770
N10:   296329
N11:     8168
N12:   104170
N13:   190301
N14:   341523
N15:    26390
N16:   100125
N17:    65167
N18:   139416
N19:   180342
N20:   337449
N21:   196562
N22:   334893
N23:   183570
N24:   581039
O01:    73210
O02:   395752
O03:   169351
O04:   411528
O05:   158726
O06:   351379
O07:   155644
O08:   384679
O09:   187019
O10:   433865
O11:   127530
O12:   241060
O13:   195150
O14:   313827
O15:   177646
O16:   331789
O17:   146686
O18:   254621
O19:   172965
O20:   325788
O21:   195737
O22:   358515
O23:   214608
O24:   205120
P01:    19993
P02:    47694
P03:    20794
P04:    86998
P05:   108958
P06:   195841
P07:   149086
P08:   417830
P09:   182037
P10:   290191
P11:     7744
P12:    44165
P13:   164157
P14:   343956
P15:    24711
P16:    75389
P17:    24654
P18:    96369
P19:   123922
P20:   450324
P21:   183046
P22:   258503
P23:    85468
P24:   112640

