"strain_id","box_name","tube_position","culture_well"
"JFK3","V2_kuehnlab_strainbank_active1","A2","A1"
"sie1401","V2_kuehnlab_strainbank_active1","A3","A2"
"sic0404","V2_kuehnlab_strainbank_active1","A9","A3"
"sic0105","V2_kuehnlab_strainbank_active1","B6","A4"
"sid0305","V2_kuehnlab_strainbank_active1","C4","A5"
"sie0102","V2_kuehnlab_strainbank_active1","E6","A6"
"KC75122","V2_kuehnlab_strainbank_active1","F1","A7"
"sic1005","V2_kuehnlab_strainbank_active1","G3","A8"
"sid0306","V2_kuehnlab_strainbank_active1","H2","A9"
"JW70612","V2_kuehnlab_strainbank_active1","I7","A10"
"sib0115","V2_kuehnlab_strainbank_active2","A2","A11"
"JW50604","V2_kuehnlab_strainbank_active2","D4","A12"
"fb9","V2_kuehnlab_strainbank_active2","E2","B1"
"HTWP2","V2_kuehnlab_strainbank_active2","E5","B2"
"pd19367","V2_kuehnlab_strainbank_active2","E7","B3"
"sid0204","V2_kuehnlab_strainbank_active2","H8","B4"
"BFD1a24","V2_kuehnlab_strainbank_active2","I8","B5"
"HTWP8","V2_kuehnlab_strainbank_active3","A8","B6"
"fb37","V2_kuehnlab_strainbank_active3","B8","B7"
"fb20","V2_kuehnlab_strainbank_active3","C2","B8"
"TI.9.53","fb_strains_4","C6","B9"
"TI.9.02","fb_strains_4","E9","B10"
"TI.9.16","fb_strains_5","C6","B11"
"blank",,,"B12"
