Testname: FB_nuc_green_dead
Date: 2/12/2026  Time: 5:28:04 PM (UTC--6)
ID1: b12_release_uptake_death2  ID2: plate2_minute15  ID3: 
No. of Channels / Multichromatics: 1
No. of Cycles: 1
Configuration: Fluorescence
Used filter settings and gain values:
  1: 503-10/538-10                                         auto
  2: -
  3: -
  4: -
  5: -
Focal height [mm]: 6.3

Chromatic: 1
Cycle: 1
A01:   177446
A02:   166709
A03:   177221
A04:   164589
A05:   194745
A06:   207062
A07:   228265
A08:   221867
A09:   253008
A10:   243165
A11:   234211
A12:   223289
A13:   293513
A14:   286910
A15:   248579
A16:   237191
A17:   258148
A18:   274128
A19:    49032
A20:    51547
A21:   207647
A22:   214882
A23:   129178
A24:   122409
B01:   167404
B02:   153714
B03:   166331
B04:   154530
B05:   182643
B06:   187040
B07:   209755
B08:   205107
B09:   243138
B10:   238435
B11:   216385
B12:   198679
B13:   296014
B14:   269973
B15:   223521
B16:   226173
B17:   257669
B18:   270123
B19:    44372
B20:    40223
B21:   217069
B22:   201638
B23:   120828
B24:   118369
C01:   151421
C02:   140813
C03:   148899
C04:   138310
C05:   164956
C06:   174291
C07:   186670
C08:   180717
C09:   232448
C10:   208451
C11:   198150
C12:   184488
C13:   276890
C14:   242222
C15:   198056
C16:   200944
C17:   230466
C18:   235401
C19:    38997
C20:    41611
C21:   186468
C22:   186044
C23:   108652
C24:   109032
D01:   133824
D02:   125713
D03:   138930
D04:   125927
D05:   152379
D06:   157520
D07:   168758
D08:   165209
D09:   186021
D10:   180866
D11:   175187
D12:   173858
D13:   246979
D14:   223877
D15:   180295
D16:   179852
D17:   214581
D18:   205860
D19:    37201
D20:    41884
D21:   169721
D22:      325
D23:    98643
D24:    93383
E01:   111001
E02:   106875
E03:   116870
E04:   107328
E05:   130562
E06:   134239
E07:   142725
E08:   139994
E09:   178137
E10:   161865
E11:   142635
E12:   139723
E13:   216358
E14:   194571
E15:   154427
E16:   151702
E17:   185036
E18:   191840
E19:    30080
E20:    32429
