Testname: FB_Chlorophyll_384
Date: 1/26/2026  Time: 4:07:28 PM (UTC--6)
ID1: B12_transfer3  ID2: plate10_hour70  ID3: 
No. of Channels / Multichromatics: 1
No. of Cycles: 1
Configuration: Fluorescence
Used filter settings and gain values:
  1: 400-100/700-100                                       auto
  2: -
  3: -
  4: -
  5: -
Focal height [mm]: 1.3

Chromatic: 1
Cycle: 1
A01:   166239
A02:   311065
A03:   236043
A04:   437870
A05:    86278
A06:   122795
A07:     5094
A08:     2105
A09:     2640
A10:     8342
A11:   178863
A12:   471718
A13:   231272
A14:   349738
A15:   131154
A16:   268442
A17:   182417
A18:   222250
A19:     3092
A20:     3947
A21:   367510
A22:   365664
A23:   239613
A24:   161471
B01:   294101
B02:   674515
B03:   392622
B04:   735594
B05:   301400
B06:   600983
B07:   275837
B08:   606356
B09:   259146
B10:   781950
B11:   259050
B12:   692013
B13:   247540
B14:   778683
B15:   286104
B16:   465580
B17:   285543
B18:   517117
B19:   232188
B20:   650770
B21:   313212
B22:   601407
B23:   294552
B24:   176522
C01:    24417
C02:   126125
C03:    79686
C04:   245366
C05:     6668
C06:    22453
C07:   334318
C08:   582952
C09:    36767
C10:   154772
C11:   272912
C12:   469449
C13:   233485
C14:   337627
C15:   267580
C16:   359690
C17:   244970
C18:   647777
C19:   162289
C20:   456243
C21:    48839
C22:   148148
C23:   296274
C24:   213938
D01:   485169
D02:   709621
D03:   392485
D04:   866486
D05:   254867
D06:   790097
D07:   323669
D08:   886568
D09:   246241
D10:   721076
D11:   394891
D12:   724617
D13:   323423
D14:   574996
D15:   267840
D16:   404447
D17:   372158
D18:   768772
D19:   255154
D20:   213223
D21:   273171
D22:   325310
D23:   300444
D24:   263384
E01:    39327
E02:   140009
E03:    69987
E04:   182806
E05:    12387
E06:    31640
E07:   236412
E08:   608885
E09:   254197
E10:   585768
E11:   209036
E12:   394973
E13:    57327
E14:   156691
E15:    11204
E16:    12796
E17:   247827
E18:   704973
E19:   137222
E20:   494547
E21:    91506
E22:   328755
E23:     5323
E24:    10600
F01:   322644
F02:   760146
F03:   277177
F04:   839624
F05:   306404
F06:   817424
F07:   310272
F08:   886992
F09:   348631
F10:   781717
F11:   351516
F12:   663962
F13:   410585
F14:   591236
F15:   242017
F16:   732505
F17:   290546
F18:   655719
F19:   257574
F20:   671112
F21:   298803
F22:   832899
F23:   266569
F24:   297094
G01:   176319
G02:   479318
G03:   264669
G04:   746776
G05:   148685
G06:   371214
G07:   332924
G08:   795347
G09:   269275
G10:   516351
G11:   274511
G12:   519003
G13:   185685
G14:   483406
G15:   361180
G16:   773324
G17:     6963
G18:    24354
G19:   243015
G20:   441096
G21:     3346
G22:    13145
G23:    15159
G24:    22817
H01:   473577
H02:   786475
H03:   341208
H04:   764520
H05:   272884
H06:   666805
H07:   220199
H08:   703127
H09:   268947
H10:   784246
H11:   388152
H12:   839542
H13:   340265
H14:   604975
H15:   320771
H16:   802824
H17:   312583
H18:   908331
H19:   281524
H20:   731001
H21:   227363
H22:   711452
H23:   326472
H24:   430652
I01:   378227
I02:   649567
I03:   284791
I04:   705492
I05:   136405
I06:   469462
I07:     5887
I08:    15067
I09:     7044
I10:    13956
I11:   469777
I12:   637278
I13:   357708
I14:   832311
I15:   375589
I16:   601817
I17:   295536
I18:   448109
I19:   110244
I20:   301565
I21:   221385
I22:   731944
I23:     6980
I24:    10311
J01:   353976
J02:   890232
J03:   317053
J04:   590375
J05:   310655
J06:   715335
J07:   338064
J08:   769209
J09:   283780
J10:   927524
J11:   395356
J12:   823261
J13:   326636
J14:   797958
J15:   407126
J16:   862440
J17:   359034
J18:   776154
J19:   269481
J20:   795319
J21:   399976
J22:   596937
J23:   255140
J24:   239515
K01:   318338
K02:   740994
K03:    12553
K04:    39100
K05:   159811
K06:   589377
K07:   368658
K08:   788867
K09:   305310
K10:   881496
K11:   407017
K12:   651426
K13:   293075
K14:   890327
K15:   283506
K16:   657168
K17:    56113
K18:   131191
K19:   233460
K20:   427659
K21:   202723
K22:   634079
K23:   274156
K24:   228511
L01:   403886
L02:   784957
L03:   301619
L04:   544539
L05:   408233
L06:   644441
L07:   403613
L08:   881278
L09:   378309
L10:   635173
L11:   384994
L12:   756619
L13:   413114
L14:   735403
L15:   403408
L16:   669758
L17:   308454
L18:   648173
L19:   452333
L20:   913580
L21:   324667
L22:   763481
L23:   314551
L24:   168605
M01:     4033
M02:     8997
M03:    62540
M04:   133632
M05:   190160
M06:   814950
M07:     5155
M08:    13693
M09:    43544
M10:   108587
M11:    56578
M12:   210277
M13:    38196
M14:    99268
M15:    60905
M16:   155032
M17:    88739
M18:   207222
M19:   319937
M20:   878393
M21:   274333
M22:   784287
M23:   311722
M24:   294634
N01:   279296
N02:   938829
N03:   317818
N04:   897395
N05:   202997
N06:   752354
N07:   301387
N08:   738916
