Testname: FB_nuc_green_dead
Date: 1/23/2026  Time: 1:01:03 PM (UTC--6)
ID1: B12_transfer3  ID2: plate3_minute15  ID3: minute15
No. of Channels / Multichromatics: 1
No. of Cycles: 1
Configuration: Fluorescence
Used filter settings and gain values:
  1: 503-10/538-10                                         auto
  2: -
  3: -
  4: -
  5: -
Focal height [mm]: 6.3

Chromatic: 1
Cycle: 1
A01:     1259
A02:     2581
A03:     1274
A04:    11067
A05:     3395
A06:     4592
A07:     2238
A08:    19021
A09:    16508
A10:     3465
A11:     5739
A12:     3985
A13:     1579
A14:     3135
A15:     1874
A16:     3256
A17:     1337
A18:     3362
A19:     1181
A20:    26442
A21:      853
A22:     3325
A23:      931
A24:     5302
B01:      999
B02:      201
B03:     2331
B04:      259
B05:     2213
B06:      259
B07:     2628
B08:      161
B09:     2101
B10:      228
B11:     2005
B12:      206
B13:     2377
B14:      173
B15:     1000
B16:      168
B17:      969
B18:      215
B19:     1776
B20:      193
B21:     2251
B22:      202
B23:      830
B24:      161
C01:      897
C02:    12525
C03:     1547
C04:    15810
C05:     4053
C06:     1781
C07:     9544
C08:     1672
C09:     4166
C10:    15300
C11:     1974
C12:     3161
C13:      961
C14:     2550
C15:     2047
C16:     5252
C17:     2470
C18:    14365
C19:     1597
C20:     1836
C21:     2959
C22:     2981
C23:     1099
C24:     2643
D01:     8547
D02:      154
D03:     7514
D04:      234
D05:     8310
D06:      193
D07:     5246
D08:      235
D09:     1796
D10:      217
D11:    74225
D12:      207
D13:      902
D14:      213
D15:     1203
D16:      204
D17:     2520
D18:      229
D19:     4405
D20:      221
D21:     3858
D22:      200
D23:      882
D24:      216
E01:     1618
E02:     1920
E03:      956
E04:     2744
E05:     1035
E06:     3031
E07:     2357
E08:     7996
E09:      768
E10:     1783
E11:     3207
E12:      855
E13:      967
E14:     1066
E15:    12724
E16:     2705
E17:    16260
E18:     1580
E19:     1487
E20:      986
E21:      908
E22:     1746
E23:     1943
E24:     1839
F01:     1959
F02:      181
F03:     5348
F04:      236
F05:     7902
F06:      165
F07:     2747
F08:      219
F09:      951
F10:      178
F11:     2361
F12:      207
F13:     4100
F14:      213
F15:     8167
F16:      270
F17:    64905
F18:      223
F19:     3062
F20:      224
F21:     6859
F22:      243
F23:    10553
F24:      219
G01:     1878
G02:     4264
G03:      981
G04:     7009
G05:    26733
G06:     2384
G07:    10732
G08:     1496
G09:     1691
G10:      905
G11:     3259
G12:     3287
G13:     2754
G14:     4373
G15:      897
G16:     3773
G17:     2621
G18:     4090
G19:     1364
G20:     1058
G21:      883
G22:    29852
G23:     1283
G24:     1634
H01:    38651
H02:      189
H03:     1112
H04:      184
H05:     2193
H06:      207
H07:    64861
H08:      202
H09:    45298
H10:      225
H11:      920
H12:      176
H13:      868
H14:      187
H15:    37398
H16:      207
H17:     1204
H18:      190
H19:     2018
H20:      203
H21:     1213
H22:      276
H23:     1804
H24:      225
I01:     1104
I02:     1271
I03:     2874
I04:     1254
I05:     6457
I06:     5650
I07:     4370
I08:     7420
I09:     1419
I10:     2979
I11:     3781
I12:     3088
I13:     1614
I14:     2400
I15:     3490
I16:    12330
I17:     4355
I18:     6252
I19:     2274
I20:     1556
I21:     1751
I22:     4159
I23:     3212
I24:      767
J01:      826
J02:      190
J03:     5623
J04:      184
J05:     1992
J06:      180
J07:     2237
J08:      229
J09:     3531
J10:      240
J11:     1771
J12:      189
J13:     5400
J14:      171
J15:     2276
J16:      247
J17:     2291
J18:      213
J19:     3923
J20:      270
J21:      961
J22:      250
J23:     1720
J24:      288
K01:     1683
K02:      925
K03:     3754
K04:     1352
K05:     4922
K06:     1431
K07:     1943
K08:     3571
K09:     1249
K10:     4515
K11:      941
K12:    30197
K13:     9281
K14:     1129
K15:     1181
K16:     2609
K17:     1901
K18:     4081
K19:     2576
K20:     7133
K21:    13126
K22:     7172
K23:     4442
K24:      877
L01:      950
L02:      269
L03:     2600
L04:      187
L05:    26445
L06:      198
L07:     6917
L08:      148
L09:     1224
L10:      214
L11:     1059
L12:      258
L13:     3398
L14:      181
L15:     4396
L16:      229
L17:    16595
L18:      206
L19:     5615
L20:      152
L21:     1927
L22:      220
L23:     3409
L24:      185
M01:     3378
M02:     2831
M03:     1006
M04:      845
M05:      890
M06:     1259
M07:     4948
M08:      740
M09:    68824
M10:     1445
M11:     2007
M12:      838
M13:     2083
M14:     6224
M15:      922
M16:     2268
M17:     4308
M18:     2101
M19:     4152
M20:     1083
M21:     9970
M22:      931
M23:     2218
M24:     1196
N01:     1477
N02:      259
N03:     6082
N04:      254
N05:     3501
N06:      252
N07:    11630
N08:      220
N09:      826
N10:      252
N11:     1706
N12:      229
N13:     1636
N14:      175
N15:     1856
N16:      221
N17:     1076
N18:      220
N19:     2978
N20:      234
N21:     1458
N22:      192
N23:     1121
N24:      195
O01:     1080
O02:    17823
O03:     1003
O04:     5921
O05:      832
O06:     3620
O07:     1199
O08:      895
O09:      886
O10:    25326
O11:     2236
O12:      850
O13:     2005
O14:     2840
O15:      890
O16:     2171
O17:     1067
O18:     1244
O19:     2641
O20:     2772
O21:     1224
O22:     1591
O23:     3712
O24:     2500
P01:     5303
P02:      264
P03:     9945
P04:      257
P05:      984
P06:      228
P07:     3934
P08:      248
P09:     2093
P10:      242
P11:     2500
P12:      190
P13:     2196
P14:      157
P15:     1989
P16:      212
P17:     1314
P18:      212
P19:     2372
P20:      222
P21:     8116
P22:      219
P23:     5283
P24:      229

