Testname: FB_OD600scan_96well
Date: 12/10/2025  Time: 7:55:42 AM
ID1: P0000000010  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.171
A02:    0.528
A03:    0.317
A04:    0.463
A05:    0.381
A06:    0.488
A07:    0.581
A08:    0.318
A09:    0.218
A10:    0.539
A11:    0.475
A12:    0.313
B01:    0.586
B02:    0.577
B03:    0.461
B04:    0.568
B05:    0.573
B06:    0.227
B07:    0.317
B08:    0.218
B09:    0.212
B10:    0.61 
B11:    0.951
B12:    0.139
C01:    0.43 
C02:    0.535
C03:    0.435
C04:    0.371
C05:    0.209
C06:    0.334
C07:    0.586
C08:    0.438
C09:    0.277
C10:    0.6  
C11:    0.298
C12:    0.499
D01:    0.229
D02:    0.344
D03:    0.644
D04:    0.526
D05:    0.321
D06:    0.228
D07:    0.259
D08:    0.305
D09:    0.485
D10:    0.558
D11:    0.332
D12:    0.346
E01:    0.141
E02:    0.597
E03:    0.576
E04:    0.269
E05:    0.505
E06:    0.45 
E07:    0.525
E08:    0.47 
E09:    0.505
E10:    0.444
E11:    0.307
E12:    0.365
F01:    0.256
F02:    0.411
F03:    0.565
F04:    0.545
F05:    0.448
F06:    0.454
F07:    0.537
F08:    0.436
F09:    0.518
F10:    0.301
F11:    0.301
F12:    0.382
G01:    0.388
G02:    0.691
G03:    0.549
G04:    0.46 
G05:    0.236
G06:    0.922
G07:    0.4  
G08:    0.705
G09:    0.261
G10:    0.624
G11:    0.43 
G12:    0.396
H01:    0.553
H02:    0.694
H03:    0.243
H04:    0.348
H05:    0.561
H06:    0.265
H07:    0.338
H08:    0.281
H09:    0.345
H10:    0.464
H11:    0.488
H12:    0.526

