"variant","af","filter.pvalue","lrt.pvalue","beta","beta.std.err","variant_h2","notes","cluster_variants","p_adj_BH","p_adj_bonferroni","rejected_BH_005","rejected_bonferroni_005","rejected_BH_010","rejected_bonferroni_010"
"K03721",0.478,0,0.606,-0.0884,0.171,0.0364,NA,"K03721",0.957012260295505,1,FALSE,FALSE,FALSE,FALSE
"K03790",0.547,0,0.0421,0.214,0.105,0.143,NA,"K03790",0.443778315789474,1,FALSE,FALSE,FALSE,FALSE
"K20959",0.0296,0,0.411,-0.315,0.382,0.058,NA,"K06604,K10909,K10915,K10918,K10921,K10922,K11018,K12277,K12512,K12514,K12515,K20919,K20955,K20959,K20962,K20965,K28162",0.893563612679114,1,FALSE,FALSE,FALSE,FALSE
"K07274",0.507,0,0.969,0.00408,0.106,0.00271,NA,"K07274",0.994829403321714,1,FALSE,FALSE,FALSE,FALSE
"K03578",0.695,0,0.00886,-0.634,0.24,0.183,NA,"K03578,K13288",0.218532118226601,1,FALSE,FALSE,FALSE,FALSE
"K07003",0.399,0,0.491,-0.0877,0.127,0.0487,NA,"K07003",0.922836711711712,1,FALSE,FALSE,FALSE,FALSE
"K07216",0.177,0,0.0963,-0.192,0.115,0.117,NA,"K07216",0.657635820895522,1,FALSE,FALSE,FALSE,FALSE
"K07001",0.911,0,0.291,0.129,0.122,0.0744,NA,"K07001",0.831651877133106,1,FALSE,FALSE,FALSE,FALSE
"K13938",0.374,0,0.438,0.15,0.193,0.0548,NA,"K13938",0.906600248036379,1,FALSE,FALSE,FALSE,FALSE
"K01495",0.961,0,0.0185,-0.524,0.221,0.165,NA,"K01495",0.286778637770898,1,FALSE,FALSE,FALSE,FALSE
"K07589",0.32,0,0.636,0.0704,0.148,0.0334,NA,"K07589",0.964400969109631,1,FALSE,FALSE,FALSE,FALSE
"K01560",0.527,0,0.699,0.0306,0.079,0.0273,NA,"K01560",0.971062753583987,1,FALSE,FALSE,FALSE,FALSE
"K02073",0.803,0,0.275,0.114,0.104,0.0769,NA,"K02071,K02072,K02073",0.818253097345133,1,FALSE,FALSE,FALSE,FALSE
"K01061",0.823,0,0.766,0.0334,0.112,0.0211,NA,"K01061",0.976419045334613,1,FALSE,FALSE,FALSE,FALSE
"K08310",0.296,0,0.248,-0.121,0.105,0.0815,NA,"K08310",0.807895901106051,1,FALSE,FALSE,FALSE,FALSE
"K03651",0.798,0,0.986,-0.00175,0.0976,0.00126,NA,"K03651",0.99758246388443,1,FALSE,FALSE,FALSE,FALSE
"K01273",0.69,0,0.233,0.113,0.0944,0.0841,NA,"K01273",0.8009859437751,1,FALSE,FALSE,FALSE,FALSE
"K05952",0.271,0,0.473,-0.123,0.171,0.0507,NA,"K05952",0.921838808250573,1,FALSE,FALSE,FALSE,FALSE
"K06933",0.0443,0,0.364,-0.178,0.195,0.064,NA,"K06933",0.877913294797688,1,FALSE,FALSE,FALSE,FALSE
"K02030",0.897,0,0.837,0.0413,0.201,0.0145,NA,"K02030",0.983538840647735,1,FALSE,FALSE,FALSE,FALSE
"K03811",0.562,0,0.448,-0.0693,0.0911,0.0535,NA,"K03811",0.909625304136253,1,FALSE,FALSE,FALSE,FALSE
"K09824",0.291,0,0.0711,0.205,0.113,0.127,NA,"K09824",0.56959632,1,FALSE,FALSE,FALSE,FALSE
"K09964",0.493,0,0.394,-0.0725,0.0849,0.0601,NA,"K09964",0.889784691136974,1,FALSE,FALSE,FALSE,FALSE
"K10916",0.0591,0,0.533,0.176,0.282,0.044,NA,"K10916",0.945181052631579,1,FALSE,FALSE,FALSE,FALSE
"K15268",0.468,0,0.226,-0.101,0.0829,0.0853,NA,"K15268",0.797606315789474,1,FALSE,FALSE,FALSE,FALSE
"K09823",0.645,0,0.821,0.0474,0.209,0.016,NA,"K09823",0.979915852205006,1,FALSE,FALSE,FALSE,FALSE
"K04764",0.69,0,0.131,0.469,0.309,0.106,NA,"K02427,K03071,K03089,K03562,K03643,K03694,K04764,K05527,K06179,K06916,K07390,K07657,K07708,K08305,K08311",0.687801152737752,1,FALSE,FALSE,FALSE,FALSE
