"variant","af","filter.pvalue","lrt.pvalue","beta","beta.std.err","variant_h2","notes","cluster_variants","p_adj_BH","p_adj_bonferroni","rejected_BH_005","rejected_bonferroni_005","rejected_BH_010","rejected_bonferroni_010"
"K03721",0.478,0,0.494,-0.113,0.165,0.0483,NA,"K03721",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K03790",0.547,0,0.164,0.105,0.0752,0.0981,NA,"K03790",0.764569832402235,1,FALSE,FALSE,FALSE,FALSE
"K20959",0.0296,0,0.902,-0.0758,0.618,0.00866,NA,"K06604,K10909,K10915,K10918,K10921,K10922,K11018,K12277,K12512,K12514,K12515,K20919,K20955,K20959,K20962,K20965,K28162",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K07274",0.507,0,0.162,-0.114,0.0814,0.0985,NA,"K07274",0.759488764044944,1,FALSE,FALSE,FALSE,FALSE
"K03578",0.695,0,0.724,-0.321,0.911,0.0249,NA,"K03578,K13288",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K07003",0.399,0,0.352,-0.103,0.111,0.0657,NA,"K07003",0.963199455040872,1,FALSE,FALSE,FALSE,FALSE
"K07216",0.177,0,0.037,-0.221,0.105,0.147,NA,"K07216",0.45742962962963,1,FALSE,FALSE,FALSE,FALSE
"K07001",0.911,0,0.373,0.0921,0.103,0.0628,NA,"K07001",0.97633889468196,1,FALSE,FALSE,FALSE,FALSE
"K13938",0.374,0,0.998,0.000742,0.241,0.000217,NA,"K13938",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K01495",0.961,0,0.757,0.143,0.461,0.0218,NA,"K01495",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K07589",0.32,0,0.562,-0.0727,0.125,0.0409,NA,"K07589",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K01560",0.527,0,0.566,0.0346,0.0602,0.0405,NA,"K01560",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K02073",0.803,0,0.658,0.0459,0.104,0.0313,NA,"K02071,K02072,K02073",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K01061",0.823,0,0.802,-0.0228,0.0912,0.0177,NA,"K01061",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K08310",0.296,0,0.817,-0.0191,0.0824,0.0164,NA,"K08310",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K03651",0.798,0,0.0399,0.171,0.0827,0.144,NA,"K03651",0.479087050359712,1,FALSE,FALSE,FALSE,FALSE
"K01273",0.69,0,0.2,0.141,0.109,0.0903,NA,"K01273",0.83103734439834,1,FALSE,FALSE,FALSE,FALSE
"K05952",0.271,0,0.804,0.0411,0.166,0.0175,NA,"K05952",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K06933",0.0443,0,0.237,-0.163,0.138,0.0833,NA,"K06933",0.888217814371257,1,FALSE,FALSE,FALSE,FALSE
"K02030",0.897,0,0.758,0.1,0.326,0.0217,NA,"K02030",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K03811",0.562,0,0.857,-0.015,0.0833,0.0127,NA,"K03811",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K09824",0.291,0,0.0691,0.128,0.0701,0.128,NA,"K09824",0.563005997001499,1,FALSE,FALSE,FALSE,FALSE
"K09964",0.493,0,0.992,0.000736,0.0764,0.00068,NA,"K09964",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K10916",0.0591,0,0.0885,0.511,0.299,0.12,NA,"K10916",0.601512080536913,1,FALSE,FALSE,FALSE,FALSE
"K15268",0.468,0,0.942,0.00441,0.0605,0.00514,NA,"K15268",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K09823",0.645,0,0.435,-0.335,0.429,0.055,NA,"K09823",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K04764",0.69,0,0.611,0.567,1.11,0.0359,NA,"K02427,K03071,K03089,K03562,K03643,K03694,K04764,K05527,K06179,K06916,K07390,K07657,K07708,K08305,K08311",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K00569",0.325,0,0.32,0.169,0.169,0.0702,NA,"K00569",0.950884272997033,1,FALSE,FALSE,FALSE,FALSE
"K08289",0.522,0,0.104,0.446,0.273,0.114,NA,"K08289",0.635809523809524,1,FALSE,FALSE,FALSE,FALSE
"K01489",0.719,0,0.316,0.248,0.247,0.0708,NA,"K01489",0.950168352171327,1,FALSE,FALSE,FALSE,FALSE
"K06518",0.611,0,0.469,-0.068,0.0937,0.0511,NA,"K06518",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K01141",0.507,0,0.58,-0.32,0.577,0.0391,NA,"K01141",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K15537",0.409,0,0.389,-0.06,0.0695,0.0607,NA,"K15537",0.987689148073022,1,FALSE,FALSE,FALSE,FALSE
"K09912",0.429,0,0.551,0.257,0.43,0.0421,NA,"K09912",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K06956",0.571,0,0.357,0.145,0.157,0.065,NA,"K06956",0.965693679092383,1,FALSE,FALSE,FALSE,FALSE
"K17290",0.64,0,0.549,0.0462,0.077,0.0423,NA,"K17290",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K00768",0.562,0,0.0502,0.234,0.119,0.138,NA,"K00768",0.531269052631579,1,FALSE,FALSE,FALSE,FALSE
"K02233",0.567,0,0.112,0.191,0.12,0.112,NA,"K02233",0.656655737704918,1,FALSE,FALSE,FALSE,FALSE
"K02231",0.557,0,0.0745,0.242,0.135,0.125,NA,"K02231",0.563005997001499,1,FALSE,FALSE,FALSE,FALSE
"K08602",0.315,0,0.19,-0.446,0.34,0.0924,NA,"K08602",0.811831069609508,1,FALSE,FALSE,FALSE,FALSE
"K05526",0.438,0,0.225,0.525,0.432,0.0855,NA,"K05526",0.87534965034965,1,FALSE,FALSE,FALSE,FALSE
"K06073",0.143,0,0.508,-0.391,0.59,0.0468,NA,"K03632,K03633,K03804,K06073,K06074,K08154,K08722,K09907",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K00344",0.906,0,0.428,0.14,0.177,0.0559,NA,"K00344",0.998606694560669,1,FALSE,FALSE,FALSE,FALSE
"K21712",0.143,0,0.972,-0.00282,0.0796,0.0025,NA,"K21712",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K00425",0.975,0,0.572,-0.0693,0.122,0.0399,NA,"K00425",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K00426",0.98,0,0.542,-0.0775,0.127,0.043,NA,"K00426",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K00424",0.365,0,0.388,-0.12,0.139,0.0609,NA,"K00424",0.987689148073022,1,FALSE,FALSE,FALSE,FALSE
"K03825",0.453,0,0.636,0.0322,0.0678,0.0335,NA,"K03825",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K09941",0.271,0,0.643,-0.18,0.388,0.0327,NA,"K09941",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K08224",0.823,0,0.137,-0.105,0.0702,0.105,NA,"K08224",0.715285714285714,1,FALSE,FALSE,FALSE,FALSE
"K07043",0.527,0,0.37,0.171,0.19,0.0633,NA,"K07043",0.97633889468196,1,FALSE,FALSE,FALSE,FALSE
"K06970",0.502,0,0.205,-0.289,0.227,0.0894,NA,"K06970",0.841993469387755,1,FALSE,FALSE,FALSE,FALSE
"K02656",0.458,0,0.422,-0.196,0.243,0.0567,NA,"K02656",0.998606694560669,1,FALSE,FALSE,FALSE,FALSE
"K00651",0.478,0,0.0682,0.655,0.357,0.128,NA,"K00651",0.563005997001499,1,FALSE,FALSE,FALSE,FALSE
"K01258",0.433,0,0.334,0.207,0.214,0.0681,NA,"K01258",0.958482857142857,1,FALSE,FALSE,FALSE,FALSE
"K07733",0.429,0,0.437,-0.0288,0.0369,0.0549,NA,"K07733",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K03630",0.872,0,0.988,-0.00732,0.494,0.00105,NA,"K03630",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
