"variant","af","filter.pvalue","lrt.pvalue","beta","beta.std.err","variant_h2","notes","cluster_variants","p_adj_BH","p_adj_bonferroni","rejected_BH_005","rejected_bonferroni_005","rejected_BH_010","rejected_bonferroni_010"
"K03721",0.483,0,0.513,42.5,64.8,0.0464,NA,"K03721",0.975103734439834,1,FALSE,FALSE,FALSE,FALSE
"K03790",0.552,0,0.0165,-97.5,40.3,0.169,NA,"K03790",0.58041958041958,1,FALSE,FALSE,FALSE,FALSE
"K20959",0.0299,0,0.864,24.8,144,0.0122,NA,"K06604,K10909,K10915,K10918,K10921,K10922,K11018,K12277,K12512,K12514,K12515,K20919,K20955,K20959,K20962,K20965,K28162",0.986782133090246,1,FALSE,FALSE,FALSE,FALSE
"K07274",0.502,0,0.144,59.4,40.5,0.104,NA,"K07274",0.869047619047619,1,FALSE,FALSE,FALSE,FALSE
"K03578",0.692,0,0.617,-45.9,91.6,0.0355,NA,"K03578,K13288",0.981408107284365,1,FALSE,FALSE,FALSE,FALSE
"K07003",0.403,0,0.874,-7.77,48.8,0.0113,NA,"K07003",0.989359293638216,1,FALSE,FALSE,FALSE,FALSE
"K07216",0.179,0,0.165,63,45.2,0.0983,NA,"K07216",0.886143931256713,1,FALSE,FALSE,FALSE,FALSE
"K07001",0.91,0,0.907,5.55,47.5,0.00828,NA,"K07001",0.992884864165589,1,FALSE,FALSE,FALSE,FALSE
"K13938",0.378,0,0.561,42.5,72.9,0.0413,NA,"K13938",0.981408107284365,1,FALSE,FALSE,FALSE,FALSE
"K01495",0.965,0,0.19,119,90.4,0.0927,NA,"K01495",0.925925925925926,1,FALSE,FALSE,FALSE,FALSE
"K07589",0.323,0,0.364,51.5,56.7,0.0643,NA,"K07589",0.954968944099379,1,FALSE,FALSE,FALSE,FALSE
"K01560",0.522,0,0.501,20.9,31,0.0477,NA,"K01560",0.975103734439834,1,FALSE,FALSE,FALSE,FALSE
"K02073",0.801,0,0.0913,-67.8,39.9,0.119,NA,"K02071,K02072,K02073",0.808130081300813,1,FALSE,FALSE,FALSE,FALSE
"K01061",0.821,0,0.58,-23.8,43,0.0393,NA,"K01061",0.981408107284365,1,FALSE,FALSE,FALSE,FALSE
