"variant","af","filter.pvalue","lrt.pvalue","beta","beta.std.err","variant_h2","notes","cluster_variants","p_adj_BH","p_adj_bonferroni","rejected_BH_005","rejected_bonferroni_005","rejected_BH_010","rejected_bonferroni_010"
"K03721",0.483,0,0.464,-52.7,71.9,0.0519,NA,"K03721",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K03790",0.552,0,0.068,-60.2,32.8,0.129,NA,"K03790",0.751655629139073,1,FALSE,FALSE,FALSE,FALSE
"K20959",0.0299,0,0.993,-1.99,228,0.000618,NA,"K06604,K10909,K10915,K10918,K10921,K10922,K11018,K12277,K12512,K12514,K12515,K20919,K20955,K20959,K20962,K20965,K28162",0.996987951807229,1,FALSE,FALSE,FALSE,FALSE
"K07274",0.502,0,0.135,50.9,33.9,0.106,NA,"K07274",0.855646100116414,1,FALSE,FALSE,FALSE,FALSE
"K03578",0.692,0,0.837,-68.9,334,0.0146,NA,"K03578,K13288",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K07003",0.403,0,0.647,21.3,46.5,0.0325,NA,"K07003",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K07216",0.179,0,0.0549,82.5,42.7,0.136,NA,"K07216",0.704834605597964,1,FALSE,FALSE,FALSE,FALSE
"K07001",0.91,0,0.63,21,43.4,0.0342,NA,"K07001",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K13938",0.378,0,0.194,118,90.6,0.092,NA,"K13938",0.927342256214149,1,FALSE,FALSE,FALSE,FALSE
"K01495",0.965,0,0.465,157,214,0.0518,NA,"K01495",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K07589",0.323,0,0.134,81.4,54.1,0.106,NA,"K07589",0.855646100116414,1,FALSE,FALSE,FALSE,FALSE
"K01560",0.522,0,0.196,33.8,26.1,0.0915,NA,"K01560",0.931558935361217,1,FALSE,FALSE,FALSE,FALSE
"K02073",0.801,0,0.202,-54.8,42.8,0.0903,NA,"K02071,K02072,K02073",0.941286113699907,1,FALSE,FALSE,FALSE,FALSE
"K01061",0.821,0,0.972,-1.33,38.3,0.00246,NA,"K01061",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K08310",0.299,0,0.779,10.1,36,0.0199,NA,"K08310",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K03651",0.796,0,0.204,45.9,36,0.09,NA,"K03651",0.943482224247949,1,FALSE,FALSE,FALSE,FALSE
"K01273",0.692,0,0.682,19.5,47.5,0.0291,NA,"K01273",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K05952",0.269,0,0.668,27.9,65,0.0304,NA,"K05952",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K06933",0.0448,0,0.268,65.2,58.7,0.0785,NA,"K06933",0.987654320987654,1,FALSE,FALSE,FALSE,FALSE
"K02030",0.896,0,0.00303,-367,122,0.208,NA,"K02030",0.307894736842105,1,FALSE,FALSE,FALSE,FALSE
"K03811",0.562,0,0.404,28.3,33.8,0.0592,NA,"K03811",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K09824",0.294,0,0.641,-14.6,31.2,0.0331,NA,"K09824",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K09964",0.493,0,0.279,-35,32.2,0.0767,NA,"K09964",0.992176386913229,1,FALSE,FALSE,FALSE,FALSE
"K10916",0.0597,0,0.892,-15.8,117,0.00961,NA,"K10916",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K15268",0.463,0,0.729,-9.21,26.5,0.0246,NA,"K15268",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K09823",0.642,0,0.0904,276,162,0.12,NA,"K09823",0.796847635726795,1,FALSE,FALSE,FALSE,FALSE
"K04764",0.687,0,0.992,-3.89,408,0.000676,NA,"K02427,K03071,K03089,K03562,K03643,K03694,K04764,K05527,K06179,K06916,K07390,K07657,K07708,K08305,K08311",0.996987951807229,1,FALSE,FALSE,FALSE,FALSE
"K00569",0.318,0,0.0627,128,68.6,0.132,NA,"K00569",0.731651376146789,1,FALSE,FALSE,FALSE,FALSE
"K08289",0.522,0,0.571,57.6,101,0.0402,NA,"K08289",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K01489",0.726,0,0.575,-55.4,98.5,0.0398,NA,"K01489",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K06518",0.617,0,0.485,28.2,40.4,0.0495,NA,"K06518",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K01141",0.512,0,0.609,114,222,0.0363,NA,"K01141",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K15537",0.408,0,0.0542,60.6,31.3,0.136,NA,"K15537",0.704834605597964,1,FALSE,FALSE,FALSE,FALSE
"K09912",0.428,0,0.444,-121,158,0.0543,NA,"K09912",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K06956",0.572,0,0.46,46,62.2,0.0524,NA,"K06956",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K17290",0.642,0,0.234,-40.9,34.2,0.0844,NA,"K17290",0.962962962962963,1,FALSE,FALSE,FALSE,FALSE
"K00768",0.567,0,0.351,45.5,48.6,0.0662,NA,"K00768",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K02233",0.572,0,0.324,48.4,49,0.0698,NA,"K02233",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K02231",0.562,0,0.484,38.9,55.5,0.0496,NA,"K02231",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K08602",0.318,0,0.788,33.9,126,0.0191,NA,"K08602",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K05526",0.443,0,1,-0.0308,170,1.29e-05,NA,"K05526",1,1,FALSE,FALSE,FALSE,FALSE
"K06073",0.144,0,0.433,170,216,0.0556,NA,"K03632,K03633,K03804,K06073,K06074,K08154,K08722,K09907",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K00344",0.91,0,0.59,-36.6,67.8,0.0382,NA,"K00344",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K21712",0.144,0,0.285,-36.8,34.3,0.0758,NA,"K21712",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K00425",0.975,0,0.678,-21.8,52.4,0.0294,NA,"K00425",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K00426",0.98,0,0.867,-9.2,54.8,0.0119,NA,"K00426",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K00424",0.363,0,0.491,-39.6,57.4,0.0489,NA,"K00424",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K03825",0.458,0,0.441,-23.5,30.5,0.0547,NA,"K03825",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K09941",0.269,0,0.913,-15.7,143,0.00777,NA,"K09941",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K08224",0.821,0,0.724,-11.2,31.6,0.0251,NA,"K08224",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K07043",0.527,0,0.884,-11.1,75.6,0.0104,NA,"K07043",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K06970",0.502,0,0.287,-93.6,87.7,0.0755,NA,"K06970",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K02656",0.458,0,0.192,120,91.2,0.0925,NA,"K02656",0.927342256214149,1,FALSE,FALSE,FALSE,FALSE
"K00651",0.483,0,0.679,55.1,133,0.0293,NA,"K00651",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K01258",0.433,0,0.00299,244,81.3,0.208,NA,"K01258",0.307894736842105,1,FALSE,FALSE,FALSE,FALSE
"K07733",0.428,0,0.0442,34.3,16.9,0.142,NA,"K07733",0.65922619047619,1,FALSE,FALSE,FALSE,FALSE
"K03630",0.871,0,0.246,-216,185,0.0823,NA,"K03630",0.967741935483871,1,FALSE,FALSE,FALSE,FALSE
"K07451",0.358,0,0.11,27.1,16.9,0.113,NA,"K07451",0.84016393442623,1,FALSE,FALSE,FALSE,FALSE
"K07448",0.353,0,0.291,16.8,15.8,0.0749,NA,"K07448",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K01153",0.498,0,0.111,22.8,14.3,0.113,NA,"K01153",0.84016393442623,1,FALSE,FALSE,FALSE,FALSE
"K01154",0.527,0,0.161,20.2,14.3,0.0992,NA,"K01154",0.874049945711183,1,FALSE,FALSE,FALSE,FALSE
"K03427",0.542,0,0.215,17.7,14.3,0.0878,NA,"K03427",0.949646643109541,1,FALSE,FALSE,FALSE,FALSE
"K02651",0.542,0,0.214,-36.5,29.2,0.0881,NA,"K02651",0.948581560283688,1,FALSE,FALSE,FALSE,FALSE
"K02278",0.323,0,0.0965,-56.5,33.8,0.118,NA,"K02278",0.815126050420168,1,FALSE,FALSE,FALSE,FALSE
"K02279",0.527,0,0.203,-37.7,29.5,0.0902,NA,"K02279",0.943482224247949,1,FALSE,FALSE,FALSE,FALSE
"K02280",0.458,0,0.048,-63.5,31.9,0.14,NA,"K02280",0.677966101694915,1,FALSE,FALSE,FALSE,FALSE
"K02283",0.622,0,0.0548,-61,31.6,0.136,NA,"K02283",0.704834605597964,1,FALSE,FALSE,FALSE,FALSE
"K12510",0.582,0,0.097,-48.3,29,0.117,NA,"K12510",0.815126050420168,1,FALSE,FALSE,FALSE,FALSE
"K12511",0.502,0,0.102,-44.6,27.1,0.116,NA,"K12511",0.821256038647343,1,FALSE,FALSE,FALSE,FALSE
"K12513",0.493,0,0.231,-46.5,38.7,0.0849,NA,"K12513",0.96089850249584,1,FALSE,FALSE,FALSE,FALSE
"K03442",0.542,0,0.856,10.1,55.2,0.0129,NA,"K03442",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K20534",0.542,0,0.277,-27.9,25.6,0.077,NA,"K20534",0.991410164638511,1,FALSE,FALSE,FALSE,FALSE
"K16089",0.308,0,0.0186,60.6,25.6,0.166,NA,"K16089",0.553571428571428,1,FALSE,FALSE,FALSE,FALSE
"K02014",0.741,0,0.855,74.9,409,0.013,NA,"K02014,K02523,K03474,K03559,K03561,K03634,K04744,K05807,K06215,K06346,K06960,K06994,K07177,K07277,K08681,K09762,K09772",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K21088",0.129,0,0.787,10.3,38.2,0.0192,NA,"K21088",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K03829",0.547,0,0.469,-30.1,41.4,0.0514,NA,"K03829",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K13274",0.164,0,0.577,70.6,126,0.0395,NA,"K13274",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K06895",0.786,0,0.293,39.2,37.2,0.0745,NA,"K06895",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K00799",0.692,0,0.686,-120,295,0.0287,NA,"K00799,K11209",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K03547",0.806,0,0.288,-52,48.8,0.0752,NA,"K03547",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K03546",0.677,0,0.196,-89.6,69,0.0917,NA,"K03546",0.931558935361217,1,FALSE,FALSE,FALSE,FALSE
"K07178",0.507,0,0.279,54.6,50.4,0.0767,NA,"K07178",0.992176386913229,1,FALSE,FALSE,FALSE,FALSE
"K06876",0.308,0,0.567,-14.6,25.4,0.0407,NA,"K06876",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K25656",0.214,0,0.991,-0.721,63.9,0.000801,NA,"K25656",0.996987951807229,1,FALSE,FALSE,FALSE,FALSE
"K02362",0.353,0,0.851,-7.36,39.2,0.0133,NA,"K02362",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K10829",0.294,0,0.782,-10.3,37.2,0.0196,NA,"K10829",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K23227",0.353,0,0.522,-21.9,34.2,0.0454,NA,"K23227",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K23228",0.348,0,0.323,-33.1,33.4,0.0701,NA,"K23228",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K06159",0.169,0,0.523,25.4,39.7,0.0453,NA,"K06159",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K05375",0.373,0,0.953,1.54,26,0.0042,NA,"K05375",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K03896",0.209,0,0.752,-9.99,31.5,0.0225,NA,"K03896",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K10531",0.189,0,0.223,-37,30.3,0.0863,NA,"K10531",0.958727429062769,1,FALSE,FALSE,FALSE,FALSE
"K02445",0.299,0,0.288,-36.2,33.9,0.0754,NA,"K02445",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K01126",0.851,0,0.402,-40.2,47.8,0.0595,NA,"K01126",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K06940",0.642,0,0.375,-38.9,43.7,0.0629,NA,"K06940",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K00633",0.0597,0,0.223,-51.8,42.4,0.0862,NA,"K00633",0.958727429062769,1,FALSE,FALSE,FALSE,FALSE
"K00661",0.592,0,0.207,-29.3,23.1,0.0895,NA,"K00661",0.943482224247949,1,FALSE,FALSE,FALSE,FALSE
"K16317",0.0249,0,0.427,121,152,0.0563,NA,"K00702,K07457,K13062,K15850,K16317,K17108,K20956",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K07089",0.373,0,0.0708,50.8,28,0.128,NA,"K07089",0.763326226012793,1,FALSE,FALSE,FALSE,FALSE
"K01096",0.139,0,0.243,153,131,0.0827,NA,"K01096,K05775,K09998,K09999,K10000",0.967614533965245,1,FALSE,FALSE,FALSE,FALSE
"K07118",0.627,0,0.0197,54.7,23.3,0.164,NA,"K07118",0.566091954022988,1,FALSE,FALSE,FALSE,FALSE
"K07275",0.652,0,0.114,95.6,60.2,0.112,NA,"K07275",0.84016393442623,1,FALSE,FALSE,FALSE,FALSE
"K00975",0.672,0,0.811,11.8,49.4,0.0169,NA,"K00975",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K02042",0.532,0,0.808,-6.05,24.9,0.0172,NA,"K02042",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K02041",0.517,0,0.972,-0.879,24.7,0.00252,NA,"K02041",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K02044",0.567,0,0.446,-18.4,24.2,0.054,NA,"K02044",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K10126",0.443,0,0.0337,-137,64.2,0.15,NA,"K10126",0.64657980456026,1,FALSE,FALSE,FALSE,FALSE
"K19802",0.418,0,0.265,43.8,39.2,0.0791,NA,"K19802",0.987654320987654,1,FALSE,FALSE,FALSE,FALSE
"K26272",0.134,0,0.249,39.3,34,0.0817,NA,"K26272",0.970381917381138,1,FALSE,FALSE,FALSE,FALSE
"K03315",0.323,0,0.572,30.8,54.5,0.0401,NA,"K03315",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K14155",0.502,0,0.652,-27.3,60.4,0.032,NA,"K14155",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K16924",0.0697,0,0.0937,-155,92.3,0.119,NA,"K16924",0.806368330464716,1,FALSE,FALSE,FALSE,FALSE
"K01552",0.264,0,0.151,-101,70.3,0.102,NA,"K01552",0.863844393592677,1,FALSE,FALSE,FALSE,FALSE
"K16785",0.274,0,0.548,-60.1,99.8,0.0426,NA,"K16785",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K00700",0.861,0,0.825,-9.28,42,0.0157,NA,"K00700",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K00705",0.577,0,0.865,-8.33,48.9,0.0121,NA,"K00705",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K00688",0.786,0,0.83,10.3,48,0.0153,NA,"K00688",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K03556",0.373,0,0.132,-49.1,32.5,0.106,NA,"K03556",0.855646100116414,1,FALSE,FALSE,FALSE,FALSE
"K08974",0.154,0,0.369,64.5,71.7,0.0637,NA,"K08974",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K07152",0.771,0,0.584,82.9,151,0.0388,NA,"K07152",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K09796",0.617,0,0.124,152,98.7,0.109,NA,"K09796",0.842391304347826,1,FALSE,FALSE,FALSE,FALSE
"K06949",0.915,0,0.818,-13,56.4,0.0163,NA,"K06949",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K07862",0.393,0,0.66,-36.7,83.4,0.0312,NA,"K07862",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K07126",0.637,0,0.801,10.7,42.4,0.0179,NA,"K07126",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K13041",0.0498,0,0.544,38.2,62.9,0.043,NA,"K08357,K08358,K08359,K13040,K13041",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K19713",0.0647,0,0.566,23.6,41,0.0407,NA,"K19713",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K11249",0.537,0,0.0213,-79,34,0.162,NA,"K11249",0.585164835164835,1,FALSE,FALSE,FALSE,FALSE
"K01200",0.219,0,0.0586,75.3,39.6,0.134,NA,"K01200",0.718137254901961,1,FALSE,FALSE,FALSE,FALSE
"K02024",0.254,0,0.247,38.4,33.1,0.082,NA,"K02024",0.969387755102041,1,FALSE,FALSE,FALSE,FALSE
"K06967",0.353,0,0.951,-5.65,91.9,0.00436,NA,"K06967",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K03778",0.498,0,0.287,-58.3,54.6,0.0755,NA,"K03778",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K03781",0.95,0,0.24,65.8,55.8,0.0833,NA,"K03781",0.967614533965245,1,FALSE,FALSE,FALSE,FALSE
"K00865",0.726,0,0.881,6.09,40.6,0.0106,NA,"K00865",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K03299",0.761,0,0.185,37,27.8,0.0938,NA,"K03299",0.915841584158416,1,FALSE,FALSE,FALSE,FALSE
"K22131",0.204,0,0.376,-25.9,29.2,0.0628,NA,"K22131",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K01816",0.607,0,0.597,-22.9,43.2,0.0375,NA,"K01816",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K22130",0.254,0,0.523,12.9,20.2,0.0454,NA,"K21948,K22130",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K08319",0.199,0,0.547,-14.3,23.7,0.0428,NA,"K08319",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K13652",0.294,0,0.655,12.6,28.3,0.0317,NA,"K13652",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K09927",0.687,0,0.903,-4.68,38.3,0.00867,NA,"K09927",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K07168",0.642,0,0.805,7.75,31.4,0.0175,NA,"K07168",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
"K03325",0.512,0,0.214,32.1,25.7,0.0881,NA,"K03325",0.948581560283688,1,FALSE,FALSE,FALSE,FALSE
"K07793",0.716,0,0.529,16.6,26.3,0.0446,NA,"K07793",0.996972754793138,1,FALSE,FALSE,FALSE,FALSE
